Invoice Date,Transaction Type,Order Id,Shipment Date,Order Date,Shipment Item Id,Item Description,Invoice Amount
6/2/2024,Shipment,804-2207266-6311807,2024-06-02 15:30:37,6/1/2024,394099710359,Product A,553
6/2/2024,Shipment,704-4418101-5655976,2024-06-03 15:45:36,6/1/2024,393625193830,Product A,563
6/2/2024,Shipment,171-6845195-9359373,2024-06-02 8:40:35,6/1/2024,392569397108,Product A,347
6/2/2024,Shipment,404-3193666-1170562,2024-06-02 23:31:41,6/1/2024,392055731874,Product A,409
6/2/2024,Shipment,204-4205155-3493144,2024-06-02 15:29:36,6/1/2024,392015605045,Product A,807
6/2/2024,Shipment,171-7900973-9370194,2024-06-03 15:52:15,6/1/2024,392583759981,Product A,383
6/2/2024,Shipment,204-2060118-9613533,2024-06-02 11:21:35,6/1/2024,393570897207,Product A,493
6/2/2024,Shipment,604-1323758-5038092,2024-06-02 5:04:15,6/1/2024,394079047649,Product A,405
6/2/2024,Shipment,604-1323758-5038092,2024-06-02 5:04:15,6/1/2024,392055735100,Product A,492
6/2/2024,Refund,604-1323758-5038092,2024-06-02 5:04:15,6/1/2024,392055735100,Product A,-492
6/2/2024,Refund,604-1323758-5038092,2024-06-02 5:04:15,6/1/2024,394079047649,Product A,-405
6/2/2024,Shipment,704-3680143-0495412,2024-06-02 3:52:35,6/1/2024,392561682244,Product A,442
6/2/2024,Shipment,304-6507125-0572095,2024-06-02 12:15:42,6/1/2024,392055735224,Product A,799
6/2/2024,Shipment,171-0082613-7311212,2024-06-02 15:52:41,6/1/2024,392611411827,Product A,366
6/2/2024,Refund,171-0082613-7311212,2024-06-02 15:52:41,6/1/2024,392611411827,Product A,-366
6/2/2024,Shipment,504-9943535-0217938,2024-06-02 9:12:16,6/1/2024,393624091474,Product A,442
6/2/2024,Shipment,504-0981734-0634857,2024-06-02 15:23:33,6/1/2024,392573185733,Product A,961
6/2/2024,Shipment,604-5004805-8032773,2024-06-02 11:22:36,6/1/2024,393058254471,Product A,1496
6/2/2024,Shipment,171-6422554-8153222,2024-06-02 10:14:14,6/1/2024,393625315258,Product A,493
6/2/2024,Shipment,404-1821966-6676630,2024-06-02 15:22:55,6/1/2024,392570208328,Product A,808
6/2/2024,Cancel,304-3306470-7278333,,,392032905471,,0
6/2/2024,Shipment,304-3306470-7278333,2024-06-03 15:50:55,6/1/2024,392032905471,Product A,205
6/2/2024,Shipment,304-7504677-1693355,2024-06-02 15:31:00,6/1/2024,392043531583,Product A,484
6/2/2024,Refund,304-7504677-1693355,2024-06-02 15:31:00,6/1/2024,392043531583,Product A,-484
6/2/2024,Shipment,304-4579530-9091810,2024-06-03 1:17:42,6/2/2024,392562167700,Product A,347
6/2/2024,Shipment,804-1181700-4415812,2024-06-02 15:52:43,6/1/2024,393596868237,Product A,363
6/2/2024,Refund,804-1181700-4415812,2024-06-02 15:52:43,6/1/2024,393596868237,Product A,-363
6/2/2024,Cancel,604-9073543-5399401,,,393593261856,,0
6/2/2024,Shipment,604-9073543-5399401,2024-06-03 14:09:39,6/1/2024,392582369713,Product A,676
6/2/2024,Shipment,604-0784544-2253273,2024-06-02 13:12:16,6/1/2024,392572373905,Product A,799
6/2/2024,Shipment,204-7377635-0095010,2024-06-02 14:22:13,6/1/2024,392043205559,Product A,1279
6/2/2024,Shipment,804-8232710-3295616,2024-06-03 15:45:58,6/1/2024,392611475264,Product A,1159
6/2/2024,Shipment,804-6856459-9257863,2024-06-02 20:20:16,6/1/2024,393057629546,Product A,692
6/2/2024,Shipment,204-2396378-1691083,2024-06-02 15:31:57,6/1/2024,392029102329,Product A,886
6/2/2024,Shipment,804-2720045-1432993,2024-06-02 15:43:55,6/1/2024,393034719047,Product A,994
6/2/2024,Shipment,804-1714818-0572086,2024-06-02 10:16:13,6/1/2024,392556797793,Product A,366
6/2/2024,Cancel,404-1796224-7095619,,,392568712563,,0
6/2/2024,Shipment,704-3072638-8097184,2024-06-02 15:06:13,6/1/2024,392024795915,Product A,587
6/2/2024,Refund,704-3072638-8097184,2024-06-02 15:06:13,6/1/2024,392024795915,Product A,-587
6/2/2024,Shipment,704-0377238-0555158,2024-06-02 13:21:36,6/1/2024,393569635302,Product A,409
6/2/2024,Shipment,204-1894579-1519667,2024-06-03 22:54:17,6/1/2024,393573979837,Product A,632
6/2/2024,Refund,204-1894579-1519667,2024-06-03 22:54:17,6/1/2024,393573979837,Product A,-632
6/2/2024,Shipment,604-5081132-4638836,2024-06-02 15:44:24,6/1/2024,393624901154,Product A,762
6/2/2024,Shipment,304-1897893-2091605,2024-06-03 13:12:12,6/1/2024,392571185732,Product A,1279
6/2/2024,Shipment,804-6791250-7451566,2024-06-02 13:56:34,6/1/2024,394078076056,Product A,594
6/2/2024,Shipment,804-2714841-3191863,2024-06-02 15:21:58,6/1/2024,393070176471,Product A,1159.83
6/2/2024,Shipment,404-5358563-2199206,2024-06-02 16:59:12,6/1/2024,394095884300,Product A,642
6/2/2024,Shipment,804-0725140-7057289,2024-06-02 21:34:36,6/1/2024,392554203286,Product A,449
6/2/2024,Cancel,604-5772405-0276813,,,394109076070,,0
6/2/2024,Cancel,604-5358291-6097107,,,392560204355,,0
6/2/2024,Cancel,604-5358291-6097107,,,392014790014,,0
6/2/2024,Shipment,604-5358291-6097107,2024-06-02 15:40:51,6/1/2024,392597046053,Product A,1350
6/2/2024,Shipment,604-5358291-6097107,2024-06-02 15:40:51,6/1/2024,392025282471,Product A,1290
6/2/2024,Shipment,604-6266054-2238224,2024-06-02 15:22:56,6/1/2024,393587741088,Product A,629
6/2/2024,Shipment,804-6576628-9615443,2024-06-02 15:43:22,6/1/2024,392555338711,Product A,563
6/2/2024,Shipment,204-0653904-4036907,2024-06-02 14:15:15,6/1/2024,392586179452,Product A,510
6/2/2024,Refund,204-0653904-4036907,2024-06-02 14:15:15,6/1/2024,392586179452,Product A,-510
6/2/2024,Shipment,504-5764337-3151180,2024-06-02 14:41:34,6/1/2024,393610348439,Product A,1007
6/2/2024,Shipment,404-6613961-6257846,2024-06-02 14:30:15,6/1/2024,392611535276,Product A,347
6/2/2024,Shipment,804-5924559-8370926,2024-06-02 15:24:10,6/1/2024,393571221049,Product A,592
6/2/2024,Refund,804-5924559-8370926,2024-06-02 15:24:10,6/1/2024,393571221049,Product A,-592
6/2/2024,Shipment,304-5009169-3199694,2024-06-03 11:24:43,6/1/2024,393045979075,Product A,1254
6/2/2024,Cancel,204-0653904-4036907,,,394085049394,,0
6/2/2024,Shipment,204-0653904-4036907,2024-06-02 14:22:36,6/1/2024,394085049394,Product A,510
6/2/2024,Refund,204-0653904-4036907,2024-06-02 14:22:36,6/1/2024,394085049394,Product A,-510
6/2/2024,Shipment,704-3321192-2476053,2024-06-02 15:31:57,6/1/2024,392611541917,Product A,447
6/2/2024,Shipment,604-9537194-2215211,2024-06-02 13:00:13,6/1/2024,394112781931,Product A,353
6/2/2024,Shipment,704-7327505-0617987,2024-06-02 12:47:38,6/1/2024,393626393780,Product A,347
6/2/2024,Shipment,804-6893306-1238680,2024-06-02 15:29:35,6/1/2024,394123183753,Product A,353
6/2/2024,Shipment,504-3304144-6336707,2024-06-03 9:42:17,6/1/2024,393029196299,Product A,347
6/2/2024,Shipment,804-3664787-9338070,2024-06-03 22:15:13,6/1/2024,394123281958,Product A,451
6/2/2024,Refund,804-3664787-9338070,2024-06-03 22:15:13,6/1/2024,394123281958,Product A,-451
6/2/2024,Cancel,404-2957827-6591256,,,394095884557,,0
6/2/2024,Shipment,404-2957827-6591256,2024-06-02 10:25:16,6/1/2024,394077750836,Product A,321
6/2/2024,Shipment,304-8866100-0530611,2024-06-02 10:47:13,6/1/2024,394097256147,Product A,409
6/2/2024,Shipment,171-1113184-7276433,2024-06-02 11:06:17,6/1/2024,393573005725,Product A,405
6/2/2024,Cancel,504-2263803-1236559,,,392036655328,,0
6/2/2024,Shipment,204-8895900-6134006,2024-06-02 11:34:36,6/1/2024,393036381172,Product A,684
6/2/2024,Shipment,804-2211131-9574180,2024-06-02 10:40:40,6/2/2024,392611600667,Product A,621.37
6/2/2024,Shipment,804-2211131-9574180,2024-06-02 10:40:40,6/2/2024,393070239352,Product A,574.59
6/2/2024,Shipment,804-2211131-9574180,2024-06-02 10:40:40,6/2/2024,394075967618,Product A,527.84
6/2/2024,Shipment,704-2175923-4219664,2024-06-02 22:52:39,6/1/2024,392585083848,Product A,458
6/2/2024,Shipment,304-6571524-0095881,2024-06-02 11:05:18,6/1/2024,392594318077,Product A,383
6/2/2024,Shipment,504-5313348-8174977,2024-06-03 15:47:38,6/1/2024,394123370969,Product A,672
6/2/2024,Shipment,304-1578983-4059921,2024-06-03 16:00:22,6/1/2024,393028385079,Product A,1105
6/2/2024,Shipment,404-4570808-1013511,2024-06-02 10:55:13,6/1/2024,394104200739,Product A,409
6/2/2024,Cancel,704-4721884-7095620,,,392031912679,,0
6/2/2024,Shipment,404-2575174-7099886,2024-06-02 19:35:20,5/31/2024,392043368619,Product A,387
6/2/2024,Shipment,204-6365976-8015888,2024-06-02 15:33:36,6/2/2024,392037628019,Product A,255
